Database_id,Quality_grade,Scientific_name,latitude,longitude,Country_name,Database_origin,url,Author_notes
31811858,research,Saproamanita thiersii,37.26239589,-97.41639703,USA,iNaturalist,https://www.inaturalist.org/observations/31811858,
1836668,research,Saproamanita thiersii,37.61214167,-97.62053,USA,iNaturalist,http://www.inaturalist.org/observations/1836668,
55245695,research,Saproamanita thiersii,37.66604731,-97.515109,USA,iNaturalist,https://www.inaturalist.org/observations/55245695,
56076312,research,Saproamanita thiersii,37.67863079,-97.48695863,USA,iNaturalist,https://www.inaturalist.org/observations/56076312,
94507835,CONFIRM_ND,Saproamanita thiersii,37.70242167,-97.26296167,USA,iNaturalist,https://www.inaturalist.org/observations/94507835,
15761733,research,Saproamanita thiersii,37.71573639,-97.29682922,USA,iNaturalist,https://www.inaturalist.org/observations/15761733,
15761196,research,Saproamanita thiersii,37.71582794,-97.2975235,USA,iNaturalist,https://www.inaturalist.org/observations/15761196,
94434997,research,Saproamanita thiersii,37.71603044,-97.29579318,USA,iNaturalist,https://www.inaturalist.org/observations/94434997,
94537175,research,Saproamanita thiersii,37.71605217,-97.29567632,USA,iNaturalist,https://www.inaturalist.org/observations/94537175,
31244083,research,Saproamanita thiersii,37.73965073,-97.26623535,USA,iNaturalist,https://www.inaturalist.org/observations/31244083,
30700514,research,Saproamanita thiersii,37.73973667,-97.266195,USA,iNaturalist,https://www.inaturalist.org/observations/30700514,
15103675,research,Saproamanita thiersii,37.74283218,-97.26512909,USA,iNaturalist,https://www.inaturalist.org/observations/15103675,
39558850,research,Saproamanita thiersii,37.74758333,-97.26241667,USA,iNaturalist,https://www.inaturalist.org/observations/39558850,
3645516,research,Saproamanita thiersii,37.74955333,-87.12526667,USA,iNaturalist,http://www.inaturalist.org/observations/3645516,
16057108,research,Saproamanita thiersii,38.02965822,-97.91823485,USA,iNaturalist,https://www.inaturalist.org/observations/16057108,
17840169,research,Saproamanita thiersii,38.19404167,-86.94906667,USA,iNaturalist,https://www.inaturalist.org/observations/17840169,
87484188,research,Saproamanita thiersii,38.26636381,-85.6598808,USA,iNaturalist,https://www.inaturalist.org/observations/87484188,
15760742,research,Saproamanita thiersii,38.38167245,-97.53690843,USA,iNaturalist,https://www.inaturalist.org/observations/15760742,
94651557,research,Saproamanita thiersii,38.39972491,-95.69336716,USA,iNaturalist,https://www.inaturalist.org/observations/94651557,
92014867,research,Saproamanita thiersii,38.48501307,-97.61974948,USA,iNaturalist,https://www.inaturalist.org/observations/92014867,
55563594,research,Saproamanita thiersii,38.48577484,-97.62038542,USA,iNaturalist,https://www.inaturalist.org/observations/55563594,
13928879,research,Saproamanita thiersii,38.51797167,-89.1111055,USA,iNaturalist,https://www.inaturalist.org/observations/13928879,
15973089,research,Saproamanita thiersii,38.56763333,-90.41968667,USA,iNaturalist,https://www.inaturalist.org/observations/15973089,
68325071,research,Saproamanita thiersii,38.60202161,-94.8404909,USA,iNaturalist,https://www.inaturalist.org/observations/68325071,
32000338,research,Saproamanita thiersii,38.64014436,-97.99416772,USA,iNaturalist,https://www.inaturalist.org/observations/32000338,
54599951,research,Saproamanita thiersii,38.64614923,-90.24640515,USA,iNaturalist,https://www.inaturalist.org/observations/54599951,
58999182,research,Saproamanita thiersii,38.80681185,-89.99918561,USA,iNaturalist,https://www.inaturalist.org/observations/58999182,
16555086,research,Saproamanita thiersii,38.83622022,-95.35027988,USA,iNaturalist,https://www.inaturalist.org/observations/16555086,
34790235,research,Saproamanita thiersii,38.87089243,-94.75363968,USA,iNaturalist,https://www.inaturalist.org/observations/34790235,
94653088,research,Saproamanita thiersii,38.8738199,-97.65265588,USA,iNaturalist,https://www.inaturalist.org/observations/94653088,
112900354,research,Saproamanita thiersii,38.88361333,-94.89053333,USA,iNaturalist,https://www.inaturalist.org/observations/112900354,
15793685,research,Saproamanita thiersii,38.93899402,-94.56507322,USA,iNaturalist,https://www.inaturalist.org/observations/15793685,
15793638,research,Saproamanita thiersii,38.93901262,-94.56506174,USA,iNaturalist,https://www.inaturalist.org/observations/15793638,
92304662,research,Saproamanita thiersii,38.94209667,-76.98113333,USA,iNaturalist,https://www.inaturalist.org/observations/92304662,
55561823,research,Saproamanita thiersii,38.95075997,-95.26129039,USA,iNaturalist,https://www.inaturalist.org/observations/55561823,
57747965,research,Saproamanita thiersii,38.95299263,-92.34709994,USA,iNaturalist,https://www.inaturalist.org/observations/57747965,
92590335,research,Saproamanita thiersii,38.95727638,-95.25105202,USA,iNaturalist,https://www.inaturalist.org/observations/92590335,
8228825,research,Saproamanita thiersii,38.961545,-97.64357,USA,iNaturalist,https://www.inaturalist.org/observations/8228825,
94581962,research,Saproamanita thiersii,38.966305,-95.26976167,USA,iNaturalist,https://www.inaturalist.org/observations/94581962,
55809266,research,Saproamanita thiersii,38.97515744,-77.10106272,USA,iNaturalist,https://www.inaturalist.org/observations/55809266,
29651341,research,Saproamanita thiersii,38.99761167,-94.69421333,USA,iNaturalist,https://www.inaturalist.org/observations/29651341,
55850008,research,Saproamanita thiersii,39.01948183,-76.4567396,USA,iNaturalist,https://www.inaturalist.org/observations/55850008,
95161951,research,Saproamanita thiersii,39.02509008,-85.92841007,USA,iNaturalist,https://www.inaturalist.org/observations/95161951,
94508913,research,Saproamanita thiersii,39.04033585,-94.63232265,USA,iNaturalist,https://www.inaturalist.org/observations/94508913,
55397921,research,Saproamanita thiersii,39.04605255,-98.14346471,USA,iNaturalist,https://www.inaturalist.org/observations/55397921,"almost identical to 55397957, but slightly different"
55397957,research,Saproamanita thiersii,39.04609681,-98.14336701,USA,iNaturalist,https://www.inaturalist.org/observations/55397957,
16490140,research,Saproamanita thiersii,39.04961138,-94.41919349,USA,iNaturalist,https://www.inaturalist.org/observations/16490140,
55840657,research,Saproamanita thiersii,39.05163944,-76.52993754,USA,iNaturalist,https://www.inaturalist.org/observations/55840657,
91737576,research,Saproamanita thiersii,39.05600823,-95.67760803,USA,iNaturalist,https://www.inaturalist.org/observations/91737576,
